Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification
Ciprofloxacin 50 4195,OTC,Capsule,150 mg,Bayer,Diabetes,Anxiolytic
Hydralazine 750 XR,OTC,Cream,750 mg,GlaxoSmithKline,Vitamin deficiency,Antidiabetic
Ofloxacin 0.5% XR,OTC,Injection,0.50%,Dr. Reddy's,Allergy,Analgesic
Bisoprolol 1000 250,OTC,Tablet,1000 IU,Alkem,Depression,Antihypertensive
Prednisolone 2000 Plus,Prescription,Capsule,2000 IU,Dr. Reddy's,Inflammation,Corticosteroid
Levosalbutamol 325 250,OTC,Drops,325 mg,Sun Pharma,Edema,Antidepressant
Pantoprazole 2000 SR 4201,OTC,Syrup,2000 IU,Dr. Reddy's,Edema,Antiplatelet
Azithromycin 1000 4202,Prescription,Drops,2000 IU,Merck,Diabetes,Analgesic
Hydralazine 450 Forte,OTC,Tablet,450 mg,Intas,Pain relief,Antiprotozoal
Azithromycin 150 250,Prescription,Drops,150 mg,Merck,Edema,Antiprotozoal
Levofloxacin 650 Plus,OTC,Cream,650 mg,Alembic,Edema,Antidepressant
Ibuprofen Forte 4206,OTC,Capsule,650 mg,Alembic,Skin infection,Antihistamine
Cefixime 60000 250,OTC,Syrup,60000 IU,Alembic,Throat infection,Anxiolytic
Ranitidine 400 DS,Prescription,Ointment,400 mg,Lupin,Bacterial infection,Antihistamine
Amlodipine 500 500 4209,Prescription,Cream,500 mg,Pfizer,Vitamin deficiency,Corticosteroid
Hydrocortisone 4210,Prescription,Drops,300 mg,Glenmark,Hypertension,Antihyperlipidemic
Diazepam 250 4211,OTC,Tablet,325 mg,Intas,Allergy,Antihyperlipidemic
Rabeprazole 325 SR,Prescription,Cream,325 mg,GlaxoSmithKline,Heartburn,Antidiabetic
Cefixime 500 SR,Prescription,Tablet,500 mg,Alembic,Hypertension,Antiprotozoal
Vitamin C Plus 4214,Prescription,Tablet,200 mg,Aurobindo,Infection,Antihypertensive
Levosalbutamol 150 500,OTC,Syrup,150 mg,Mankind,Anxiety,Antiprotozoal
Rabeprazole Forte 4216,Prescription,Tablet,200 mg,Lupin,Anxiety,Anticoagulant
Prednisolone 50 SR,Prescription,Drops,50 mg,Intas,Vitamin deficiency,Antihypertensive
Hydralazine 1%,OTC,Drops,1%,Alembic,Clot prevention,Supplement
B Complex 750 50 4219,Prescription,Syrup,750 mg,Sanofi,Throat infection,Supplement
Metronidazole 300 50,OTC,Drops,300 mg,Intas,Anxiety,Antihypertensive
Insulin 250 4221,OTC,Cream,450 mg,Glenmark,Vitamin deficiency,Anticoagulant
Levocetirizine 2000 DS,Prescription,Ointment,2000 IU,Dr. Reddy's,Skin infection,Supplement
Diazepam 150 SR 4223,OTC,Injection,150 mg,Abbott,Anxiety,Anxiolytic
Metoprolol 250 4224,OTC,Injection,2%,Sun Pharma,Depression,Antidiabetic
Levocetirizine 600 Forte,Prescription,Injection,600 IU,Pfizer,Skin infection,Antibiotic
Amoxicillin 375 DS,Prescription,Tablet,375 mg,Aurobindo,Pain relief,Supplement
Enalapril 1000 4227,Prescription,Cream,500 mg,Dr. Reddy's,Depression,Antacid
Hydralazine Plus 4228,Prescription,Tablet,600 IU,Novartis,Throat infection,Anticoagulant
Cefuroxime 100 DS,Prescription,Syrup,100 mg,Sun Pharma,Blood pressure,Antiplatelet
Dolo 60000 Forte 4230,OTC,Tablet,60000 IU,Sanofi,Inflammation,Anxiolytic
Ranitidine Plus 4231,OTC,Injection,100 mg,Merck,Cold & Cough,Corticosteroid
Crocin 50 50 4232,OTC,Capsule,50 mg,Cipla,Infection,Supplement
Ciprofloxacin 450 XR,OTC,Drops,450 mg,Mankind,Immunity booster,Anticoagulant
Amlodipine DS 4234,OTC,Ointment,100 mg,Sanofi,Heartburn,Antidepressant
Metformin 200 Plus,Prescription,Tablet,200 mg,Dr. Reddy's,Immunity booster,Antibiotic
Fluoxetine 2000 50,OTC,Capsule,2000 IU,Cipla Ltd,Respiratory infection,Anticoagulant
Ibuprofen 750 Forte,Prescription,Injection,750 mg,Intas,Fever,Analgesic
Diclofenac 4238,Prescription,Ointment,100 mg,Glenmark,Heartburn,Diuretic
Erythromycin 1% SR,Prescription,Capsule,1%,Novartis,Clot prevention,Antibiotic
Clopidogrel 1000 XR,OTC,Tablet,1000 mg,Bayer,Pain relief,Antiprotozoal
Cefuroxime 150 1000,OTC,Tablet,150 mg,Alkem,Pain relief,Analgesic
Montelukast Forte 4242,OTC,Syrup,50 mg,Intas,Diabetes,Antihyperlipidemic
Bisoprolol Forte 4243,OTC,Tablet,500 mg,GlaxoSmithKline,Cold & Cough,Diuretic
Cefuroxime 100 Forte,OTC,Drops,100 mg,GlaxoSmithKline,Allergy,Anxiolytic
Vitamin D3 250 4245,OTC,Capsule,150 mg,Lupin,Immunity booster,Antibiotic
Amlodipine 250,OTC,Cream,450 mg,Torrent,Allergy,Antiprotozoal
Metronidazole 500,OTC,Injection,125 mg,Bayer,Bacterial infection,Antibiotic
Losartan 250 4248,Prescription,Drops,1%,Mankind,Cold & Cough,Analgesic
Levocetirizine 250 DS,Prescription,Ointment,250 mg,Dr. Reddy's,Throat infection,Antidiabetic
Dolo 4250,Prescription,Tablet,75 mg,Merck,Vitamin deficiency,Antihypertensive
Cefixime 50 4251,OTC,Tablet,50 mg,Cipla Ltd,Bacterial infection,Antacid
Gentamicin 400 XR,Prescription,Ointment,400 mg,Glenmark,Fever,Antiplatelet
Zincovit 375 1000,Prescription,Injection,375 mg,Sun Pharma,Immunity booster,Corticosteroid
Aspirin 1000 4254,OTC,Drops,750 mg,Cipla,Blood pressure,Antidepressant
Loratadine 2% Forte,Prescription,Drops,2%,Alembic,Pain relief,Antihistamine
Simvastatin 1000 4256,OTC,Tablet,400 mg,Merck,Allergy,Antidiabetic
Cetirizine 750 500,OTC,Cream,750 mg,Dr. Reddy's,Inflammation,Analgesic
Losartan 600 1000,OTC,Tablet,600 IU,Dr. Reddy's,Infection,Diuretic
Ranitidine Plus 4259,OTC,Tablet,250 mg,Cipla Ltd,Cold & Cough,Analgesic
Clopidogrel 75,OTC,Tablet,75 mg,Merck,Depression,Diuretic
Rosuvastatin 400 500 4261,Prescription,Syrup,400 IU,Aurobindo,Respiratory infection,Corticosteroid
Ramipril 500 4262,OTC,Capsule,500 mg,Alkem,Pain relief,Antidiabetic
Amikacin 375 50,OTC,Capsule,375 mg,Aurobindo,Bacterial infection,Antibiotic
Diazepam 4264,Prescription,Ointment,400 IU,Glenmark,Throat infection,Antidiabetic
Levosalbutamol 250,Prescription,Capsule,650 mg,Alkem,Inflammation,Supplement
Amikacin 75,OTC,Injection,75 mg,Pfizer,Anxiety,Antihistamine
Metformin 500 4267,OTC,Capsule,2000 IU,Mankind,Heartburn,Antiplatelet
Paracetamol Plus 4268,Prescription,Injection,450 mg,Novartis,Allergy,Antidiabetic
B Complex SR 4269,OTC,Cream,250 mg,GlaxoSmithKline,Inflammation,Antidepressant
Diclofenac SR 4270,Prescription,Drops,1000 mg,Novartis,Clot prevention,Antihyperlipidemic
Rabeprazole 500 4271,OTC,Capsule,2%,Glenmark,Clot prevention,Antiprotozoal
Naproxen 325,OTC,Cream,325 mg,Novartis,Skin infection,Antidepressant
Vitamin C Forte 4273,Prescription,Cream,375 mg,Alembic,Depression,Antihyperlipidemic
Naproxen 300 500,Prescription,Ointment,300 mg,GlaxoSmithKline,Hypertension,Anxiolytic
Crocin 50 4275,Prescription,Capsule,650 mg,Mankind,Clot prevention,Antihypertensive
Levofloxacin Forte 4276,Prescription,Drops,1000 IU,Dr. Reddy's,Pain relief,Diuretic
Amlodipine 300 250,OTC,Tablet,300 mg,Alkem,Hypertension,Antibiotic
Clopidogrel 250 4278,Prescription,Capsule,325 mg,Pfizer,Heartburn,Supplement
Cetirizine 1000 4279,OTC,Syrup,200 mg,Bayer,Pain relief,Antacid
Becosules Plus 4280,Prescription,Capsule,125 mg,Alkem,Anxiety,Antiprotozoal
Pantoprazole 750 XR,Prescription,Syrup,750 mg,Intas,Vitamin deficiency,Antidiabetic
Cefixime Plus 4282,Prescription,Capsule,100 mg,Alembic,Skin infection,Antihypertensive
Warfarin 400 XR 4283,OTC,Tablet,400 IU,Pfizer,Depression,Corticosteroid
Aspirin 50 4284,Prescription,Capsule,325 mg,Intas,Cold & Cough,Antiprotozoal
Warfarin 500 4285,Prescription,Capsule,750 mg,Cipla Ltd,Cold & Cough,Antiplatelet
Hydrochlorothiazide 125 500 4286,OTC,Tablet,125 mg,Bayer,Vitamin deficiency,Corticosteroid
Losartan Plus 4287,OTC,Ointment,100 mg,Alkem,Clot prevention,Antiprotozoal
Diazepam 600 SR,Prescription,Ointment,600 IU,Aurobindo,Allergy,Antacid
Doxycycline Forte 4289,OTC,Capsule,0.50%,Alkem,Skin infection,Antacid
Telmisartan Forte 4290,Prescription,Capsule,500 mg,Sun Pharma,Infection,Antiprotozoal
Becosules 250 4291,Prescription,Tablet,650 mg,Cipla,Skin infection,Corticosteroid
Enalapril 50 4292,Prescription,Cream,300 mg,Zydus,Hypertension,Corticosteroid
Ramipril 1000 XR,OTC,Injection,1000 mg,Glenmark,Fever,Supplement
Metformin 450 Plus,OTC,Tablet,450 mg,Dr. Reddy's,Vitamin deficiency,Analgesic
Omeprazole 75 Forte,Prescription,Ointment,75 mg,Sun Pharma,Allergy,Antiprotozoal
Rabeprazole 500 4296,OTC,Drops,650 mg,Mankind,Diabetes,Antiprotozoal
Levocetirizine 100 4297,Prescription,Capsule,100 mg,GlaxoSmithKline,Pain relief,Diuretic
B Complex 50 4298,Prescription,Cream,500 mg,Alkem,Allergy,Analgesic
Simvastatin 375,Prescription,Capsule,375 mg,Alkem,Skin infection,Analgesic
Cefixime 1000 500 4300,Prescription,Tablet,1000 mg,GlaxoSmithKline,Inflammation,Antihistamine
Cetirizine 1000 4301,Prescription,Injection,400 mg,Glenmark,Clot prevention,Anxiolytic
Vitamin C Forte 4302,OTC,Cream,2000 IU,Abbott,Fever,Antihistamine
Doxycycline 500 4303,OTC,Injection,1000 mg,Bayer,Throat infection,Analgesic
Furosemide 125 Plus,OTC,Cream,125 mg,Alkem,Blood pressure,Antibiotic
Doxycycline 300,OTC,Syrup,300 mg,Pfizer,Fever,Diuretic
Omeprazole 1000 4306,Prescription,Injection,650 mg,Cipla,Cold & Cough,Supplement
Ciprofloxacin DS 4307,Prescription,Tablet,750 mg,Merck,Vitamin deficiency,Diuretic
Atorvastatin 100 SR 4308,OTC,Injection,100 mg,Dr. Reddy's,Hypertension,Supplement
Combiflam 60000 Plus,OTC,Ointment,60000 IU,Alkem,Respiratory infection,Anticoagulant
Calpol 300,Prescription,Capsule,300 mg,Glenmark,Allergy,Corticosteroid
Becosules Forte 4311,Prescription,Tablet,750 mg,Bayer,Throat infection,Antiprotozoal
Naproxen 400 DS 4312,OTC,Injection,400 mg,Alkem,Blood pressure,Corticosteroid
Amikacin 150 DS,OTC,Capsule,150 mg,Glenmark,Blood pressure,Diuretic
Calpol 75 250,Prescription,Ointment,75 mg,Glenmark,Allergy,Diuretic
Cetirizine 500 4315,Prescription,Syrup,200 mg,Dr. Reddy's,Heartburn,Corticosteroid
Montelukast 75 250,OTC,Drops,75 mg,Novartis,Vitamin deficiency,Antacid
Amoxicillin 500 4317,Prescription,Cream,325 mg,Lupin,Hypertension,Antacid
Pantoprazole 400 250,Prescription,Capsule,400 mg,Aurobindo,Vitamin deficiency,Antibiotic
Cefuroxime 1000 Forte,OTC,Syrup,1000 mg,Dr. Reddy's,Cold & Cough,Antacid
Hydrocortisone XR 4320,OTC,Syrup,650 mg,Sun Pharma,Bacterial infection,Antihistamine
Pantoprazole 300 4321,Prescription,Tablet,300 mg,Lupin,Bacterial infection,Anticoagulant
Aspirin 750 1000,OTC,Drops,750 mg,Sanofi,Respiratory infection,Anticoagulant
Telmisartan 75 Forte,OTC,Injection,75 mg,Lupin,Skin infection,Analgesic
Crocin Forte 4324,OTC,Tablet,2%,Novartis,Respiratory infection,Antacid
Calpol 375 XR 4325,Prescription,Tablet,375 mg,Dr. Reddy's,Fever,Antidepressant
Hydralazine Forte 4326,OTC,Drops,1000 mg,Dr. Reddy's,Infection,Analgesic
Omnacortil Forte 4327,Prescription,Injection,1%,Bayer,Edema,Antidiabetic
Crocin 750 250,Prescription,Syrup,750 mg,Alembic,Vitamin deficiency,Anticoagulant
Hydrochlorothiazide 4329,Prescription,Capsule,125 mg,GlaxoSmithKline,Diabetes,Antibiotic
Telmisartan 250 4330,Prescription,Capsule,250 mg,Abbott,Pain relief,Antiplatelet
Montelukast 300 SR,OTC,Capsule,300 mg,GlaxoSmithKline,Infection,Antacid
Rabeprazole 50 1000 4332,OTC,Injection,50 mg,Alkem,Fever,Supplement
Omeprazole 750 250 4333,OTC,Syrup,750 mg,Zydus,Anxiety,Antacid
Metoprolol 200 1000,Prescription,Syrup,200 mg,Aurobindo,Immunity booster,Anxiolytic
Zincovit 750 SR,OTC,Cream,750 mg,Alembic,Pain relief,Supplement
Diazepam 600 DS,OTC,Capsule,600 IU,Abbott,Respiratory infection,Antiplatelet
Montelukast 125 Forte,OTC,Cream,125 mg,Alkem,Bacterial infection,Corticosteroid
Fluoxetine 50 4338,Prescription,Ointment,60000 IU,Cipla Ltd,Respiratory infection,Antibiotic
Metronidazole DS 4339,Prescription,Syrup,100 mg,Sanofi,Anxiety,Antacid
Vitamin C 150 Plus,OTC,Tablet,150 mg,Alkem,Infection,Antihistamine
Cetirizine 60000 Plus 4341,Prescription,Syrup,60000 IU,Alkem,Clot prevention,Antiprotozoal
Paracetamol XR 4342,Prescription,Ointment,1000 mg,Sun Pharma,Diabetes,Antiprotozoal
Naproxen Plus 4343,OTC,Injection,75 mg,Merck,Hypertension,Corticosteroid
Cefixime DS 4344,OTC,Tablet,600 IU,Alembic,Infection,Antidiabetic
Furosemide 2000,Prescription,Tablet,2000 IU,Abbott,Diabetes,Supplement
Amlodipine Forte 4346,OTC,Ointment,50 mg,Lupin,Skin infection,Antiprotozoal
Becosules 200 DS,Prescription,Drops,200 mg,Dr. Reddy's,Bacterial infection,Anxiolytic
Valsartan Forte 4348,Prescription,Drops,60000 IU,Novartis,Vitamin deficiency,Antiprotozoal
Atorvastatin DS 4349,Prescription,Cream,650 mg,Novartis,Infection,Antihistamine
Clarithromycin 400 500,Prescription,Drops,400 mg,Pfizer,Infection,Diuretic
Hydrocortisone 250 4351,OTC,Injection,375 mg,Abbott,Skin infection,Antacid
Hydrocortisone 450,Prescription,Tablet,450 mg,Lupin,Immunity booster,Antihypertensive
Omnacortil 250 DS,Prescription,Syrup,250 mg,Lupin,Bacterial infection,Antihyperlipidemic
Clopidogrel 100 250,OTC,Capsule,100 mg,Pfizer,Inflammation,Antidiabetic
Ramipril 500 Plus,Prescription,Cream,500 mg,Merck,Inflammation,Corticosteroid
Metoprolol 1000 4356,OTC,Cream,650 mg,Pfizer,Immunity booster,Analgesic
Clarithromycin 75 SR,OTC,Injection,75 mg,Intas,Allergy,Antihyperlipidemic
Erythromycin 400 DS 4358,OTC,Capsule,400 IU,Cipla,Diabetes,Antihyperlipidemic
Furosemide 50 Plus,Prescription,Capsule,50 mg,Zydus,Cold & Cough,Antibiotic
Diazepam 600 1000 4360,OTC,Ointment,600 IU,Novartis,Respiratory infection,Antidepressant
Clarithromycin 400 Forte,OTC,Capsule,400 IU,Torrent,Fever,Supplement
Ranitidine DS 4362,Prescription,Injection,250 mg,Bayer,Respiratory infection,Supplement
Montelukast Plus 4363,OTC,Ointment,375 mg,Alembic,Fever,Diuretic
Rabeprazole 200 4364,OTC,Capsule,200 mg,Mankind,Anxiety,Corticosteroid
Insulin SR 4365,Prescription,Capsule,375 mg,Glenmark,Hypertension,Antidepressant
Loratadine 2000 Forte,OTC,Tablet,2000 IU,Abbott,Blood pressure,Analgesic
Naproxen 60000 250,Prescription,Capsule,60000 IU,Lupin,Blood pressure,Antihistamine
Ranitidine XR 4368,OTC,Cream,125 mg,Lupin,Edema,Antidiabetic
Levosalbutamol 50 4369,Prescription,Injection,250 mg,Sanofi,Immunity booster,Supplement
Cefixime 200 50,OTC,Capsule,200 mg,Pfizer,Vitamin deficiency,Anticoagulant
Warfarin 250 Plus,Prescription,Cream,250 mg,Sun Pharma,Allergy,Antidepressant
Ofloxacin 50 4372,Prescription,Syrup,50 mg,Torrent,Respiratory infection,Antidepressant
Diclofenac Forte 4373,OTC,Drops,125 mg,Alkem,Vitamin deficiency,Antihyperlipidemic
Ramipril 1% 500,OTC,Cream,1%,Glenmark,Pain relief,Diuretic
Propranolol 500 Forte,OTC,Injection,500 mg,Lupin,Hypertension,Anxiolytic
Ramipril 250 4376,Prescription,Ointment,375 mg,Aurobindo,Cold & Cough,Antibiotic
Warfarin 300 DS,OTC,Tablet,300 mg,Lupin,Vitamin deficiency,Antibiotic
Becosules 1000 50 4378,OTC,Capsule,1000 mg,Sanofi,Infection,Supplement
Ramipril 450 DS,OTC,Capsule,450 mg,Sanofi,Diabetes,Diuretic
Diazepam DS 4380,OTC,Cream,50 mg,Alembic,Blood pressure,Diuretic
Zincovit 50 4381,Prescription,Drops,250 mg,Glenmark,Edema,Antidiabetic
Bisoprolol 250 4382,OTC,Cream,400 IU,Aurobindo,Throat infection,Antihistamine
Salbutamol DS 4383,OTC,Drops,75 mg,GlaxoSmithKline,Cold & Cough,Antihistamine
Loratadine 250 250 4384,OTC,Cream,250 mg,GlaxoSmithKline,Inflammation,Corticosteroid
Ranitidine 400 250 4385,Prescription,Tablet,400 IU,Mankind,Edema,Analgesic
Hydrocortisone 250 4386,Prescription,Tablet,400 mg,Novartis,Clot prevention,Antiplatelet
Amoxicillin 150 500,OTC,Drops,150 mg,Torrent,Blood pressure,Antiplatelet
Amlodipine 650 XR,Prescription,Injection,650 mg,Abbott,Edema,Antihyperlipidemic
Rosuvastatin 750,Prescription,Cream,750 mg,Abbott,Skin infection,Antihistamine
Hydrocortisone 125 500,OTC,Syrup,125 mg,Sanofi,Vitamin deficiency,Antidiabetic
Propranolol 600 Plus,Prescription,Injection,600 IU,Sun Pharma,Vitamin deficiency,Antacid
Prednisolone 300 500,Prescription,Drops,300 mg,Cipla Ltd,Fever,Anticoagulant
Rosuvastatin DS 4393,Prescription,Drops,650 mg,Abbott,Pain relief,Corticosteroid
Clarithromycin 1% 1000,OTC,Ointment,1%,Dr. Reddy's,Vitamin deficiency,Antihypertensive
Rabeprazole 200 XR,Prescription,Capsule,200 mg,Glenmark,Depression,Antidiabetic
Gentamicin 400 1000,OTC,Syrup,400 IU,Cipla,Infection,Corticosteroid
Calpol 250,Prescription,Ointment,400 mg,Cipla,Pain relief,Analgesic
Metformin 75 50,Prescription,Syrup,75 mg,Sanofi,Edema,Antiprotozoal
Erythromycin 1000 Forte 4399,Prescription,Ointment,1000 mg,Intas,Immunity booster,Diuretic
Diazepam 325,OTC,Cream,325 mg,Novartis,Vitamin deficiency,Anticoagulant
Metronidazole 300 500,OTC,Tablet,300 mg,GlaxoSmithKline,Anxiety,Antihyperlipidemic
Simvastatin 200 1000,OTC,Tablet,200 mg,Lupin,Inflammation,Antidepressant
Amoxicillin Forte 4403,OTC,Cream,375 mg,Alembic,Allergy,Antidepressant
Diazepam 200 Plus,Prescription,Cream,200 mg,Cipla Ltd,Inflammation,Analgesic
Loratadine 150 Forte,Prescription,Drops,150 mg,Pfizer,Edema,Supplement
Ramipril 250 4406,Prescription,Ointment,500 mg,Lupin,Heartburn,Corticosteroid
Rosuvastatin 250 Plus,Prescription,Cream,250 mg,Torrent,Blood pressure,Antidiabetic
Calpol 250 Plus,OTC,Cream,250 mg,Torrent,Throat infection,Antihypertensive
Cetirizine 50 4409,OTC,Injection,750 mg,Sanofi,Immunity booster,Antiplatelet
Cetirizine 4410,OTC,Cream,450 mg,Glenmark,Diabetes,Antihypertensive
Dolo 1000 XR,OTC,Syrup,1000 mg,Bayer,Edema,Supplement
Bisoprolol 500 4412,OTC,Ointment,150 mg,Sun Pharma,Immunity booster,Analgesic
Valsartan 750 SR,Prescription,Syrup,750 mg,Sun Pharma,Respiratory infection,Antiplatelet
Montelukast 50 SR,OTC,Injection,50 mg,Bayer,Clot prevention,Antiplatelet
Furosemide 200 XR,Prescription,Drops,200 mg,Dr. Reddy's,Skin infection,Antihistamine
Levofloxacin 500 500,Prescription,Injection,500 mg,Alkem,Respiratory infection,Antibiotic
Diclofenac 750 Plus,OTC,Syrup,750 mg,Bayer,Anxiety,Corticosteroid
Combiflam 400 1000,Prescription,Drops,400 mg,Cipla Ltd,Inflammation,Analgesic
Cefuroxime XR 4419,OTC,Ointment,1000 IU,Zydus,Vitamin deficiency,Anxiolytic
Vitamin C 600 500,Prescription,Tablet,600 IU,Glenmark,Edema,Supplement
Calpol 250 4421,OTC,Drops,75 mg,Pfizer,Blood pressure,Analgesic
Rabeprazole 50 4422,OTC,Syrup,250 mg,Pfizer,Vitamin deficiency,Anxiolytic
Azithromycin 400 SR,Prescription,Tablet,400 mg,Abbott,Anxiety,Anxiolytic
Amikacin DS 4424,OTC,Capsule,300 mg,Alembic,Cold & Cough,Antiprotozoal
Clopidogrel 400 SR,Prescription,Tablet,400 mg,Glenmark,Vitamin deficiency,Anxiolytic
Furosemide 2% 1000,OTC,Cream,2%,Aurobindo,Fever,Diuretic
Salbutamol Forte 4427,OTC,Injection,1000 IU,Lupin,Skin infection,Antibiotic
Ofloxacin 1000 4428,Prescription,Cream,500 mg,Bayer,Depression,Antidiabetic
Hydrocortisone SR 4429,OTC,Capsule,0.50%,Aurobindo,Respiratory infection,Antidepressant
Becosules 500 4430,OTC,Injection,750 mg,Novartis,Diabetes,Anticoagulant
Enalapril 60000 Forte,Prescription,Tablet,60000 IU,Dr. Reddy's,Immunity booster,Antihyperlipidemic
Warfarin 2000,OTC,Drops,2000 IU,Intas,Depression,Diuretic
Loratadine 1000 XR,Prescription,Syrup,1000 IU,Lupin,Blood pressure,Anticoagulant
Cetirizine 300 DS,OTC,Tablet,300 mg,Abbott,Respiratory infection,Supplement
Dolo 200,Prescription,Injection,200 mg,Torrent,Vitamin deficiency,Antidepressant
Combiflam 750 50,Prescription,Syrup,750 mg,Bayer,Diabetes,Supplement
Bisoprolol 1000 4437,OTC,Capsule,650 mg,Mankind,Respiratory infection,Analgesic
Insulin 250 4438,Prescription,Injection,650 mg,Alembic,Heartburn,Antacid
Vitamin D3 200 250,OTC,Ointment,200 mg,GlaxoSmithKline,Blood pressure,Antidiabetic
Levocetirizine 375 1000,OTC,Injection,375 mg,Torrent,Infection,Supplement
Ranitidine 375 Forte,OTC,Injection,375 mg,Dr. Reddy's,Skin infection,Antiprotozoal
Pantoprazole 1000 4442,Prescription,Syrup,300 mg,Cipla Ltd,Pain relief,Antiplatelet
Metoprolol 2000 Plus,OTC,Drops,2000 IU,Lupin,Throat infection,Corticosteroid
Crocin Plus 4444,OTC,Capsule,600 IU,Zydus,Pain relief,Anxiolytic
Rosuvastatin XR 4445,Prescription,Capsule,300 mg,Mankind,Bacterial infection,Antacid
Clopidogrel DS 4446,Prescription,Injection,375 mg,Cipla Ltd,Skin infection,Antihyperlipidemic
Cetirizine 50 4447,Prescription,Cream,125 mg,Pfizer,Infection,Analgesic
Metronidazole 75 250,Prescription,Tablet,75 mg,Alembic,Throat infection,Anticoagulant
Ibuprofen 400 XR 4449,OTC,Ointment,400 mg,Sanofi,Hypertension,Antiprotozoal
Combiflam 50 Plus 4450,Prescription,Cream,50 mg,Aurobindo,Anxiety,Antihistamine
Furosemide Forte 4451,Prescription,Syrup,600 IU,Sun Pharma,Allergy,Antiprotozoal
Naproxen Plus 4452,OTC,Syrup,250 mg,Alkem,Depression,Diuretic
Bisoprolol 4453,OTC,Drops,100 mg,Bayer,Allergy,Anticoagulant
Insulin DS 4454,OTC,Syrup,300 mg,Cipla,Throat infection,Supplement
Vitamin D3 400 XR 4455,OTC,Drops,400 mg,Torrent,Diabetes,Antidiabetic
Erythromycin 400 XR,OTC,Capsule,400 mg,Intas,Blood pressure,Anxiolytic
Cetirizine 200 Plus,OTC,Cream,200 mg,Aurobindo,Infection,Antihistamine
Levosalbutamol 450 SR,Prescription,Ointment,450 mg,Sanofi,Blood pressure,Analgesic
Losartan 650 SR 4459,OTC,Ointment,650 mg,Glenmark,Pain relief,Antidiabetic
Amikacin 0.5% Forte 4460,OTC,Capsule,0.50%,Cipla Ltd,Anxiety,Antihypertensive
Azithromycin 600 Forte,OTC,Injection,600 IU,Alkem,Cold & Cough,Supplement
Metoprolol 600 SR,Prescription,Syrup,600 IU,Sun Pharma,Immunity booster,Antidiabetic
Cefixime 250 250,Prescription,Capsule,250 mg,Aurobindo,Respiratory infection,Anxiolytic
Insulin 50 4464,Prescription,Ointment,50 mg,Zydus,Anxiety,Antiplatelet
Hydrocortisone Forte 4465,Prescription,Ointment,60000 IU,Cipla,Vitamin deficiency,Analgesic
Erythromycin Plus 4466,OTC,Syrup,2%,Intas,Fever,Diuretic
Doxycycline 250 XR,OTC,Tablet,250 mg,Sun Pharma,Cold & Cough,Analgesic
Furosemide 1000 Plus 4468,OTC,Cream,1000 mg,Zydus,Infection,Antidiabetic
Losartan 2% 500,OTC,Drops,2%,Alkem,Respiratory infection,Supplement
Insulin 500 1000,Prescription,Ointment,500 mg,Torrent,Clot prevention,Antacid
Gentamicin 500 Plus,OTC,Injection,500 mg,Mankind,Immunity booster,Supplement
Metronidazole 1000 4472,OTC,Tablet,1000 mg,Aurobindo,Diabetes,Antiplatelet
Paracetamol 250 Forte,OTC,Syrup,250 mg,Mankind,Blood pressure,Antidepressant
Rosuvastatin 50 50,OTC,Ointment,50 mg,GlaxoSmithKline,Diabetes,Supplement
Ibuprofen 400 SR,Prescription,Syrup,400 mg,Mankind,Throat infection,Supplement
Fluoxetine 0.5% Plus,OTC,Injection,0.50%,Torrent,Skin infection,Antidiabetic
Insulin 150 XR,OTC,Capsule,150 mg,Glenmark,Immunity booster,Antidiabetic
Metronidazole Plus 4478,OTC,Tablet,300 mg,Torrent,Cold & Cough,Corticosteroid
Rabeprazole 450 DS,Prescription,Tablet,450 mg,Novartis,Blood pressure,Antihistamine
Ranitidine SR 4480,Prescription,Drops,750 mg,Cipla,Infection,Antibiotic
Zincovit 50 4481,Prescription,Injection,2000 IU,Glenmark,Depression,Anxiolytic
Aspirin Forte 4482,OTC,Syrup,750 mg,Intas,Cold & Cough,Analgesic
Diazepam 250 4483,Prescription,Ointment,100 mg,Sanofi,Vitamin deficiency,Anticoagulant
Furosemide 500 500,OTC,Drops,500 mg,Torrent,Depression,Analgesic
Levofloxacin 500 500 4485,OTC,Tablet,500 mg,Novartis,Fever,Antacid
Propranolol XR,Prescription,Injection,1000 mg,Cipla Ltd,Depression,Antiprotozoal
Ciprofloxacin 4487,Prescription,Drops,200 mg,Bayer,Infection,Antidepressant
Loratadine 2% 250,Prescription,Syrup,2%,Novartis,Edema,Antihyperlipidemic
Dolo 100 250,Prescription,Cream,100 mg,Glenmark,Edema,Antiplatelet
Valsartan 250 4490,Prescription,Syrup,125 mg,Merck,Allergy,Antiplatelet
Bisoprolol XR 4491,OTC,Capsule,150 mg,Merck,Blood pressure,Anticoagulant
Cefixime 200 1000,OTC,Cream,200 mg,Sanofi,Fever,Antidepressant
Insulin Plus 4493,Prescription,Syrup,450 mg,Torrent,Edema,Anxiolytic
Dolo 325,Prescription,Capsule,325 mg,Zydus,Bacterial infection,Antihistamine
Clopidogrel 1000 50,OTC,Injection,1000 mg,Cipla Ltd,Depression,Antacid
Fluoxetine 375 XR,OTC,Drops,375 mg,Alkem,Pain relief,Corticosteroid
Vitamin D3 150 DS,OTC,Tablet,150 mg,Pfizer,Anxiety,Corticosteroid
